the_geom,OBJECTID,Name,Stacked,AnnoLine1,AnnoLine2,AnnoLine3,AnnoAngle,Borough
POINT (-73.97833207924134 40.74830307725222),118,Murray Hill,2,Murray,Hill,,0,Manhattan
POINT (-74.0031163347282 40.74403470674802),119,Chelsea,1,Chelsea,,,0,Manhattan
POINT (-73.99991402945909 40.72693288536132),120,Greenwich Village,2,Greenwich,Village,,0,Manhattan
POINT (-73.98222616506425 40.72784677727029),121,East Village,2,East,Village,,0,Manhattan
POINT (-73.98089031999298 40.71780674892769),122,Lower East Side,3,Lower,East,Side,0,Manhattan
POINT (-74.01068328559094 40.72152196744325),123,Tribeca,1,Tribeca,,,0,Manhattan
POINT (-73.9973046720808 40.71932379395911),124,Little Italy,2,Little,Italy,,0,Manhattan
POINT (-74.00065666959766 40.72218384131798),125,Soho,1,Soho,,,0,Manhattan
POINT (-74.00617998126819 40.734433935724375),126,West Village,2,West,Village,,0,Manhattan
POINT (-73.96428617740662 40.7973070417029),127,Manhattan Valley,2,Manhattan,Valley,,0,Manhattan
POINT (-73.96389627905339 40.80799973816586),128,Morningside Heights,2,Morningside,Heights,,0,Manhattan
POINT (-73.98137594833548 40.737209832715045),129,Gramercy,1,Gramercy,,,0,Manhattan
POINT (-74.01686930508625 40.71193198394569),130,Battery Park City,3,Battery,Park,City,0,Manhattan
POINT (-74.01066544521277 40.70710710727052),131,Financial District,2,Financial,District,,0,Manhattan
POINT (-73.91565374304241 40.768508593354966),132,Astoria,1,Astoria,,,0,Queens
POINT (-73.90184166838291 40.746349088602265),133,Woodside,1,Woodside,,,0,Queens
POINT (-73.88282109164372 40.751981380073715),134,Jackson Heights,2,Jackson,Heights,,0,Queens
POINT (-73.88165622288396 40.744048505122066),135,Elmhurst,1,Elmhurst,,,0,Queens
POINT (-73.83813764600289 40.6542252773849),136,Howard Beach,2,Howard,Beach,,0,Queens
POINT (-73.85682497345266 40.7423817501567),137,South Corona,2,South,Corona,,0,Queens
POINT (-73.8444750078899 40.725263782165065),138,Forest Hills,2,Forest,Hills,,0,Queens
POINT (-73.8298190582571 40.705179035414844),139,Kew Gardens,2,Kew,Gardens,,0,Queens
POINT (-73.83183321446894 40.69794731471767),140,Richmond Hill,2,Richmond,Hill,,0,Queens
POINT (-73.82936758711861 40.76116362081876),141,Downtown Flushing,2,Downtown,Flushing,,0,Queens
POINT (-73.93920223915512 40.75021734610532),142,Long Island City,3,Long,Island,City,0,Queens
POINT (-73.92691617561584 40.74017628351928),143,Sunnyside,1,Sunnyside,,,0,Queens
POINT (-73.86704147658779 40.764073238830946),144,East Elmhurst,2,East,Elmhurst,,0,Queens
POINT (-73.89621713626867 40.72542737409365),145,Maspeth,1,Maspeth,,,0,Queens
POINT (-73.90143517559596 40.70832315613862),146,Ridgewood,1,Ridgewood,,,0,Queens
POINT (-73.87074167435614 40.702762429678415),147,Glendale,1,Glendale,,,0,Queens
POINT (-73.85782686905377 40.72897409480739),148,Rego Park,1,Rego Park,,,0,Queens
POINT (-73.85811046554328 40.689886879157925),149,Woodhaven,1,Woodhaven,,,0,Queens
